-- insert dos endereços dos canais de denuncia

INSERT INTO `petcare_db`.`Endereco` (id_endereco, cidade, cep, estado, rua, bairro, tipo_endereco) VALUES
(1076, 'Abadia de Goiás', '75345-000', 'Goiás', 'Rua 01, Lote 10', 'Centro', 'LocalDenuncia'),
(1138, 'Cezarina', '75610-000', 'Goiás', 'Rua da Ponte, 60', 'Centro', 'LocalDenuncia'),
(1139, 'Chapadão do Céu', '75828-000', 'Goiás', 'Avenida do Sol, 200', 'Jardim do Céu', 'LocalDenuncia'),
(1140, 'Cidade Ocidental', '72880-000', 'Goiás', 'Quadra 12, Lote 15', 'Parque Napolis', 'LocalDenuncia'),
(1141, 'Cocalzinho de Goiás', '73710-000', 'Goiás', 'Rua da Cachoeira, 80', 'Vila Colonial', 'LocalDenuncia'),
(1142, 'Colinas do Sul', '73760-000', 'Goiás', 'Avenida da Represa, 100', 'Setor Barragem', 'LocalDenuncia'),
(1143, 'Córrego do Ouro', '76115-000', 'Goiás', 'Rua Principal, 30', 'Centro', 'LocalDenuncia'),
(1144, 'Corumbá de Goiás', '73820-000', 'Goiás', 'Praça do Coreto, SN', 'Centro', 'LocalDenuncia'),
(1145, 'Corumbaíba', '75685-000', 'Goiás', 'Avenida do Porto, 70', 'Vila Fluvial', 'LocalDenuncia'),
(1146, 'Cristalina', '73850-000', 'Goiás', 'Rua das Esmeraldas, 400', 'Setor Esmeralda', 'LocalDenuncia'),
(1147, 'Cristianópolis', '75210-000', 'Goiás', 'Rua da Luz, 50', 'Centro', 'LocalDenuncia'),
(1148, 'Crixás', '76510-000', 'Goiás', 'Avenida do Garimpo, 200', 'Vila dos Garimpeiros', 'LocalDenuncia'),
(1149, 'Cromínia', '75630-000', 'Goiás', 'Rua do Ipê, 20', 'Jardim da Flor', 'LocalDenuncia'),
(1150, 'Cumari', '75720-000', 'Goiás', 'Avenida da Estação, 130', 'Setor Ferroviário', 'LocalDenuncia'),
(1151, 'Damianópolis', '73970-000', 'Goiás', 'Rua da Esperança, 60', 'Vila Nova', 'LocalDenuncia'),
(1152, 'Damolândia', '75420-000', 'Goiás', 'Praça Central, SN', 'Centro', 'LocalDenuncia'),
(1153, 'Davinópolis', '75725-000', 'Goiás', 'Avenida dos Jacarandás, 150', 'Jardim das Árvores', 'LocalDenuncia'),
(1154, 'Diorama', '76130-000', 'Goiás', 'Rua do Córrego, 85', 'Setor Ribeirinho', 'LocalDenuncia'),
(1155, 'Divinópolis de Goiás', '73980-000', 'Goiás', 'Rua da Fé, 40', 'Centro', 'LocalDenuncia'),
(1156, 'Doverlândia', '76220-000', 'Goiás', 'Avenida do Peixe, 180', 'Vila dos Pescadores', 'LocalDenuncia'),
(1157, 'Edealina', '75605-000', 'Goiás', 'Rua da Usina, 250', 'Setor Industrial', 'LocalDenuncia'),
(1158, 'Edéia', '75940-000', 'Goiás', 'Avenida JK, 100', 'Setor Central', 'LocalDenuncia'),
(1159, 'Estrela do Norte', '76520-000', 'Goiás', 'Rua da Estrela, 55', 'Bairro do Céu', 'LocalDenuncia'),
(1160, 'Faina', '76740-000', 'Goiás', 'Avenida do Gado, 120', 'Setor Rural', 'LocalDenuncia'),
(1161, 'Fazenda Nova', '76270-000', 'Goiás', 'Rua da Lavoura, 300', 'Bairro Agrícola', 'LocalDenuncia'),
(1162, 'Firminópolis', '76100-000', 'Goiás', 'Rua 24 de Outubro, 80', 'Centro', 'LocalDenuncia'),
(1163, 'Flores de Goiás', '73830-000', 'Goiás', 'Alameda dos Ipês, 150', 'Jardim Florido', 'LocalDenuncia'),
(1164, 'Formosa', '73800-000', 'Goiás', 'Avenida Brasília, 500', 'Setor Central', 'LocalDenuncia'),
(1165, 'Formoso', '76460-000', 'Goiás', 'Rua do Vale, 100', 'Setor Montanhês', 'LocalDenuncia'),
(1166, 'Gameleira de Goiás', '75180-000', 'Goiás', 'Rua da Gameleira, 40', 'Centro', 'LocalDenuncia'),
(1167, 'Goianápolis', '75170-000', 'Goiás', 'Rua da Maçã, 70', 'Jardim Frutas', 'LocalDenuncia'),
(1168, 'Goiandira', '75730-000', 'Goiás', 'Avenida do Lago, 90', 'Setor Lagoa', 'LocalDenuncia'),
(1169, 'Goianésia', '76380-000', 'Goiás', 'Avenida Goiás, 600', 'Centro', 'LocalDenuncia'),
(1170, 'Goiânia', '74000-000', 'Goiás', 'Avenida Anhanguera, 5000', 'Setor Central', 'LocalDenuncia'),
(1171, 'Goiânia', '74000-001', 'Goiás', 'Rua da Paz, 123', 'Setor Oeste', 'Principal'),
(1172, 'Goiânia', '74000-002', 'Goiás', 'Avenida Brasil, 456', 'Setor Sul', 'Residencial'),
(1173, 'Goiânia', '74000-003', 'Goiás', 'Praça Cívica, SN', 'Centro', 'Comercial'),
(1174, 'Goianira', '75370-000', 'Goiás', 'Rua C-12, Lote 5', 'Setor Leste', 'LocalDenuncia'),
(1175, 'Goiás', '76600-000', 'Goiás', 'Rua da Matriz, 30', 'Centro Histórico', 'LocalDenuncia'),
(1176, 'Goiatuba', '75600-000', 'Goiás', 'Avenida Presidente Vargas, 800', 'Setor Central', 'LocalDenuncia'),
(1177, 'Gouvelândia', '75635-000', 'Goiás', 'Rua da Represa, 45', 'Vila das Águas', 'LocalDenuncia'),
(1178, 'Guapó', '75380-000', 'Goiás', 'Rua 15 de Novembro, 100', 'Centro', 'LocalDenuncia'),
(1179, 'Guaraíta', '76190-000', 'Goiás', 'Avenida Principal, 75', 'Setor Central', 'LocalDenuncia'),
(1180, 'Guarani de Goiás', '73940-000', 'Goiás', 'Rua das Flores, 120', 'Jardim Primavera', 'LocalDenuncia'),
(1181, 'Guarinos', '76530-000', 'Goiás', 'Praça da Bandeira, SN', 'Centro', 'LocalDenuncia'),
(1182, 'Heitoraí', '76195-000', 'Goiás', 'Rua da Liberdade, 30', 'Setor Oeste', 'LocalDenuncia'),
(1183, 'Hidrolândia', '75340-000', 'Goiás', 'Avenida do Lago, 200', 'Jardim dos Ipês', 'LocalDenuncia'),
(1184, 'Hidrolina', '76320-000', 'Goiás', 'Rua da Estação, 40', 'Centro', 'LocalDenuncia'),
(1185, 'Iaciara', '73920-000', 'Goiás', 'Avenida da Chapada, 150', 'Vila da Serra', 'LocalDenuncia'),
(1186, 'Inaciolândia', '75595-000', 'Goiás', 'Rua Principal, 60', 'Setor Central', 'LocalDenuncia'),
(1187, 'Indiara', '75955-000', 'Goiás', 'Avenida do Milho, 250', 'Bairro Rural', 'LocalDenuncia'),
(1188, 'Inhumas', '75400-000', 'Goiás', 'Rua Goianésia, 300', 'Setor Central', 'LocalDenuncia'),
(1189, 'Ipameri', '75780-000', 'Goiás', 'Avenida Sete de Setembro, 150', 'Centro', 'LocalDenuncia'),
(1190, 'Ipiranga de Goiás', '76365-000', 'Goiás', 'Rua do Sol, 80', 'Vila Luminosa', 'LocalDenuncia'),
(1191, 'Iporá', '76200-000', 'Goiás', 'Rua do Comércio, 400', 'Setor Central', 'LocalDenuncia'),
(1192, 'Israelândia', '76135-000', 'Goiás', 'Avenida da Fé, 50', 'Bairro Divino', 'LocalDenuncia'),
(1193, 'Itaberaí', '76630-000', 'Goiás', 'Avenida Goiás, 800', 'Centro', 'LocalDenuncia'),
(1194, 'Itaguari', '76670-000', 'Goiás', 'Rua da Árvore, 30', 'Jardim das Folhas', 'LocalDenuncia'),
(1195, 'Itaguaru', '76660-000', 'Goiás', 'Avenida Principal, 90', 'Setor Central', 'LocalDenuncia'),
(1196, 'Itajá', '75840-000', 'Goiás', 'Rua do Rio, 120', 'Setor Fluvial', 'LocalDenuncia'),
(1197, 'Itapaci', '76330-000', 'Goiás', 'Avenida da Indústria, 400', 'Bairro Industrial', 'LocalDenuncia'),
(1198, 'Itapirapuã', '76290-000', 'Goiás', 'Rua da Represa, 100', 'Vila da Barragem', 'LocalDenuncia'),
(1199, 'Itapuranga', '76680-000', 'Goiás', 'Avenida da Fazenda, 250', 'Setor Rural', 'LocalDenuncia'),
(1200, 'Itarumã', '75845-000', 'Goiás', 'Rua Principal, 70', 'Centro', 'LocalDenuncia'),
(1201, 'Itauçu', '75450-000', 'Goiás', 'Praça da Matriz, SN', 'Centro', 'LocalDenuncia'),
(1202, 'Itumbiara', '75500-000', 'Goiás', 'Avenida Beira Rio, 2000', 'Setor Central', 'LocalDenuncia'),
(1203, 'Ivolândia', '76125-000', 'Goiás', 'Rua do Sol, 50', 'Jardim do Amanhecer', 'LocalDenuncia'),
(1204, 'Jandaia', '75920-000', 'Goiás', 'Avenida Principal, 80', 'Setor Central', 'LocalDenuncia'),
(1205, 'Jaraguá', '76335-000', 'Goiás', 'Rua 07, Lote 12', 'Vila São José', 'LocalDenuncia'),
(1206, 'Jataí', '75800-000', 'Goiás', 'Avenida JK, 1500', 'Setor Central', 'LocalDenuncia'),
(1207, 'Jaupaci', '76260-000', 'Goiás', 'Rua do Córrego, 40', 'Jardim das Águas', 'LocalDenuncia'),
(1208, 'Jesúpolis', '75470-000', 'Goiás', 'Praça da Igreja, SN', 'Centro', 'LocalDenuncia'),
(1209, 'Joviânia', '75615-000', 'Goiás', 'Avenida Principal, 100', 'Setor Central', 'LocalDenuncia'),
(1210, 'Jussara', '76275-000', 'Goiás', 'Rua da Paz, 60', 'Vila Nova', 'LocalDenuncia'),
(1211, 'Lagoa Santa', '75880-000', 'Goiás', 'Avenida do Lago, 180', 'Setor Turístico', 'LocalDenuncia'),
(1212, 'Leopoldo de Bulhões', '75185-000', 'Goiás', 'Rua do Ipê, 30', 'Jardim Primavera', 'LocalDenuncia'),
(1213, 'Luziânia', '72800-000', 'Goiás', 'Avenida Alfredo Nasser, 1000', 'Centro', 'LocalDenuncia'),
(1214, 'Mairipotaba', '75640-000', 'Goiás', 'Rua do Gado, 70', 'Setor Rural', 'LocalDenuncia'),
(1215, 'Mambaí', '73965-000', 'Goiás', 'Avenida da Caverna, 120', 'Vila Escondida', 'LocalDenuncia'),
(1216, 'Mara Rosa', '76470-000', 'Goiás', 'Rua da Mina, 200', 'Bairro dos Garimpeiros', 'LocalDenuncia'),
(1217, 'Marzagão', '75650-000', 'Goiás', 'Rua do Campo, 100', 'Setor Lazer', 'LocalDenuncia'),
(1218, 'Matrinchã', '76295-000', 'Goiás', 'Avenida do Rio, 50', 'Vila Fluvial', 'LocalDenuncia'),
(1219, 'Maurilândia', '75930-000', 'Goiás', 'Rua das Aroeiras, 90', 'Jardim Verde', 'LocalDenuncia'),
(1220, 'Mimoso de Goiás', '73700-000', 'Goiás', 'Praça Central, SN', 'Centro', 'LocalDenuncia'),
(1221, 'Minaçu', '76455-000', 'Goiás', 'Avenida da Represa, 500', 'Setor da Usina', 'LocalDenuncia'),
(1222, 'Mineiros', '75830-000', 'Goiás', 'Avenida Sete, 1500', 'Setor Central', 'LocalDenuncia'),
(1223, 'Moiporá', '76117-000', 'Goiás', 'Rua Principal, 25', 'Centro', 'LocalDenuncia'),
(1224, 'Monte Alegre de Goiás', '73860-000', 'Goiás', 'Rua da Montanha, 100', 'Vila Alta', 'LocalDenuncia'),
(1225, 'Montes Claros de Goiás', '76255-000', 'Goiás', 'Avenida do Sol, 180', 'Setor Oeste', 'LocalDenuncia'),
(1226, 'Montividiu', '75915-000', 'Goiás', 'Rua da Luz, 70', 'Jardim da Fé', 'LocalDenuncia'),
(1227, 'Montividiu do Norte', '76420-000', 'Goiás', 'Avenida Principal, 90', 'Setor Norte', 'LocalDenuncia'),
(1228, 'Morrinhos', '75650-000', 'Goiás', 'Avenida Couto Magalhães, 500', 'Centro', 'LocalDenuncia'),
(1229, 'Morro Agudo de Goiás', '76350-000', 'Goiás', 'Rua da Colina, 30', 'Setor Alto', 'LocalDenuncia'),
(1230, 'Mossâmedes', '76175-000', 'Goiás', 'Avenida da Liberdade, 200', 'Vila Nova', 'LocalDenuncia'),
(1231, 'Mozarlândia', '76265-000', 'Goiás', 'Rua das Garças, 80', 'Setor Ribeirinho', 'LocalDenuncia'),
(1232, 'Mundo Novo', '76295-000', 'Goiás', 'Avenida da Paz, 150', 'Jardim Novo', 'LocalDenuncia'),
(1233, 'Mutunópolis', '76525-000', 'Goiás', 'Rua dos Pássaros, 40', 'Centro', 'LocalDenuncia'),
(1234, 'Nazário', '76145-000', 'Goiás', 'Rua Principal, 60', 'Setor Central', 'LocalDenuncia'),
(1235, 'Nerópolis', '75460-000', 'Goiás', 'Avenida Brasil, 800', 'Centro', 'LocalDenuncia'),
(1236, 'Niquelândia', '76420-000', 'Goiás', 'Avenida da Mina, 300', 'Bairro Industrial', 'LocalDenuncia'),
(1237, 'Nova América', '76360-000', 'Goiás', 'Rua Principal, 70', 'Centro', 'LocalDenuncia'),
(1238, 'Nova Aurora', '75750-000', 'Goiás', 'Avenida do Sol Nascente, 120', 'Jardim do Amanhecer', 'LocalDenuncia'),
(1239, 'Nova Crixás', '76535-000', 'Goiás', 'Rua do Ouro, 180', 'Vila dos Garimpeiros', 'LocalDenuncia'),
(1240, 'Nova Glória', '76368-000', 'Goiás', 'Praça Central, SN', 'Centro', 'LocalDenuncia'),
(1241, 'Nova Iguaçu de Goiás', '76465-000', 'Goiás', 'Rua da Praia, 90', 'Setor Litorâneo', 'LocalDenuncia'),
(1242, 'Nova Roma', '73930-000', 'Goiás', 'Avenida dos Pioneiros, 150', 'Vila Antiga', 'LocalDenuncia'),
(1243, 'Nova Veneza', '75480-000', 'Goiás', 'Rua dos Sabores, 50', 'Centro Gastronômico', 'LocalDenuncia'),
(1244, 'Novo Brasil', '76285-000', 'Goiás', 'Rua da Esperança, 100', 'Jardim Novo', 'LocalDenuncia'),
(1245, 'Novo Gama', '72860-000', 'Goiás', 'Quadra 33, Lote 10', 'Setor Leste', 'LocalDenuncia'),
(1246, 'Novo Planalto', '76405-000', 'Goiás', 'Avenida do Progresso, 180', 'Bairro Futuro', 'LocalDenuncia'),
(1247, 'Orizona', '75280-000', 'Goiás', 'Rua das Palmeiras, 250', 'Jardim Colonial', 'LocalDenuncia'),
(1248, 'Ouro Verde de Goiás', '75475-000', 'Goiás', 'Avenida do Ouro, 100', 'Centro', 'LocalDenuncia'),
(1249, 'Ouvidor', '75745-000', 'Goiás', 'Rua da Ferrovia, 80', 'Setor Industrial', 'LocalDenuncia'),
(1250, 'Padre Bernardo', '73705-000', 'Goiás', 'Rua São Francisco, 45', 'Centro', 'LocalDenuncia'),
(1251, 'Palestina de Goiás', '75860-000', 'Goiás', 'Avenida do Monte, 120', 'Vila Nova', 'LocalDenuncia'),
(1252, 'Palmeiras de Goiás', '76190-000', 'Goiás', 'Rua das Palmeiras, 500', 'Jardim Tropical', 'LocalDenuncia'),
(1253, 'Palmelo', '75290-000', 'Goiás', 'Praça da Matriz, SN', 'Centro', 'LocalDenuncia'),
(1254, 'Palminópolis', '76105-000', 'Goiás', 'Avenida das Árvores, 90', 'Jardim Ecológico', 'LocalDenuncia'),
(1255, 'Panamá', '75667-000', 'Goiás', 'Rua do Canal, 30', 'Setor Náutico', 'LocalDenuncia'),
(1256, 'Paranaiguara', '75885-000', 'Goiás', 'Avenida do Rio, 150', 'Vila dos Pescadores', 'LocalDenuncia'),
(1257, 'Paraúna', '75935-000', 'Goiás', 'Rua do Cerrado, 200', 'Jardim Nativo', 'LocalDenuncia'),
(1258, 'Perolândia', '75865-000', 'Goiás', 'Avenida das Pérolas, 60', 'Centro', 'LocalDenuncia'),
(1259, 'Petrolina de Goiás', '76395-000', 'Goiás', 'Rua dos Poços, 180', 'Setor Petrolífero', 'LocalDenuncia'),
(1260, 'Pilar de Goiás', '76360-000', 'Goiás', 'Praça do Garimpeiro, SN', 'Centro', 'LocalDenuncia'),
(1261, 'Piracanjuba', '75640-000', 'Goiás', 'Avenida da Represa, 100', 'Setor Lago', 'LocalDenuncia'),
(1262, 'Piranhas', '76210-000', 'Goiás', 'Rua do Córrego, 50', 'Vila Fluvial', 'LocalDenuncia'),
(1263, 'Pirenópolis', '72980-000', 'Goiás', 'Rua Direita, 120', 'Centro Histórico', 'LocalDenuncia'),
(1264, 'Pires do Rio', '75200-000', 'Goiás', 'Avenida Pires do Rio, 800', 'Centro', 'LocalDenuncia'),
(1265, 'Planaltina', '73750-000', 'Goiás', 'Avenida Central, 400', 'Setor Leste', 'LocalDenuncia'),
(1266, 'Pontalina', '75640-000', 'Goiás', 'Rua do Pontal, 150', 'Setor Ribeirinho', 'LocalDenuncia'),
(1267, 'Porangatu', '76550-000', 'Goiás', 'Avenida Brasília, 700', 'Centro', 'LocalDenuncia'),
(1268, 'Porteirão', '75910-000', 'Goiás', 'Rua da Agricultura, 200', 'Setor Rural', 'LocalDenuncia'),
(1269, 'Portelândia', '75867-000', 'Goiás', 'Avenida da Liberdade, 75', 'Vila Nova', 'LocalDenuncia'),
(1270, 'Posse', '73860-000', 'Goiás', 'Rua Principal, 30', 'Centro', 'LocalDenuncia'),
(1271, 'Professor Jamil', '75670-000', 'Goiás', 'Praça do Saber, SN', 'Setor Educacional', 'LocalDenuncia'),
(1272, 'Quirinópolis', '75860-000', 'Goiás', 'Avenida Santos Dumont, 900', 'Setor Aeroporto', 'LocalDenuncia'),
(1273, 'Rialma', '76310-000', 'Goiás', 'Rua da Paz, 60', 'Centro', 'LocalDenuncia'),
(1274, 'Rianápolis', '76315-000', 'Goiás', 'Avenida Brasil, 180', 'Vila Nova', 'LocalDenuncia'),
(1275, 'Rio Quente', '75695-000', 'Goiás', 'Rua das Águas Quentes, 100', 'Setor Turístico', 'LocalDenuncia');
-- inserts canais_denuncia com ligação
INSERT INTO canais_denuncia (canal_email, canal_descricao, canal_tipo, nome_instituicao, canal_telefone, canal_site, fk_canal_id_endereco) VALUES
('denuncia.ambiente@gov.br', 'Denúncias de crimes ambientais e maus-tratos a animais selvagens.', 'Órgão Governamental', 'IBAMA', '6133161600', 'www.ibama.gov.br', 1076),
('delegacia.protecao@policia.go.br', 'Denúncias de maus-tratos a animais domésticos e silvestres.', 'Delegacia Especializada', 'Delegacia de Proteção Animal', '6232012000', 'www.policiacivil.go.gov.br', 1077),
('mp.go@mpgo.mp.br', 'Recebe denúncias de infrações contra a fauna.', 'Ministério Público', 'Ministério Público de Goiás', '6232438000', 'www.mpgo.mp.br', 1078),
('fiscalizacao@pm.go.gov.br', 'Fiscalização de estabelecimentos com animais e resgates.', 'Órgão de Fiscalização', 'Polícia Militar Ambiental GO', '190', 'www.pm.go.gov.br', 1079),
('linhaverde@ong.org.br', 'Canal para denúncias anônimas de crueldade animal.', 'ONG de Proteção Animal', 'Linha Verde Animal', '08007212345', 'www.linhaverdeanimal.org.br', 1080),
('sac@prefeitura.go.br', 'Atendimento ao cidadão para denúncias de animais abandonados.', 'Serviço Público Municipal', 'Prefeitura de Goiânia - SAC', '156', 'www.goiania.go.gov.br', 1081),
('defensoria.animal@def.br', 'Apoio jurídico para casos de maus-tratos.', 'Defensoria Pública', 'Defensoria Pública Animal', '6232021000', 'www.defensoria.go.def.br', 1082),
('ouvidoria.saude@saude.go.br', 'Denúncias relacionadas a saúde animal e zoonoses.', 'Secretaria de Saúde', 'Secretaria Estadual de Saúde de GO', '08006461000', 'www.saude.go.gov.br', 1083),
('sosfauna@ibama.br', 'Emergências e resgate de fauna silvestre ferida.', 'Órgão Governamental', 'SOS Fauna - IBAMA', '0800618080', 'www.ibama.gov.br', 1084),
('animal.urgente@email.com', 'Plantão para casos urgentes de abuso e negligência.', 'Organização Civil', 'Resgate Animal Urgente', '62987654321', 'www.resgateanimalurgente.com.br', 1085),
('denuncie@adocao.org', 'Plataforma para denúncias de abandono e irregularidades em adoções.', 'ONG de Adoção', 'Adoção Responsável', '6239998877', 'www.adocaoresponsavel.org', 1086),
