INSERT INTO `petcare_db`.`animais` (id_animal, animal_nome, porte, especie, cor, raca, imagem, animal_descricao, animal_rg, status, fk_animais_id_usuario) VALUES
(30, 'Nala', 'Médio', 'Felina', 'Cinza', 'Sphynx', '/imagens/felina/nala.jpg', 'Calmo e dorminhoco.', NULL, 'Disponível', 66),
(31, 'Zeus', 'Pequeno', 'Roedores', 'Branco', 'Rato Twister', '/imagens/roedores/zeus.jpg', 'Energético e curioso.', '100000031', 'Disponível', 730),
(32, 'Coco', 'Grande', 'Canina', 'Marrom', 'Vira-lata', '/imagens/canina/coco.jpg', 'Precisa de muito espaço e atividade.', NULL, 'Disponível', 1),
(33, 'Max', 'Médio', 'Aves', 'Amarelo', 'Agapornis', '/imagens/aves/max.jpg', 'Um(a) verdadeiro(a) anjo.', '100000033', 'Desaparecido', 888),
(34, 'Lily', 'Pequeno', 'Peixes', 'Dourado', 'Kingyo', '/imagens/peixes/lily.jpg', 'Independente e explorador(a).', NULL, 'Disponível', 444),
(35, 'Chewie', 'Grande', 'Canina', 'Branco e Preto', 'Husky Siberiano', '/imagens/canina/chewie.jpg', 'Adora crianças.', '100000035', 'Disponível', 150),
(36, 'Gracie', 'Médio', 'Felina', 'Laranja', 'SRD', '/imagens/felina/gracie.jpg', 'Companheiro(a) ideal para a família.', NULL, 'Adotado', 620),
(37, 'Gizmo', 'Pequeno', 'Roedores', 'Marrom', 'Coelho', '/imagens/roedores/gizmo.jpg', 'Gosta de carinho e atenção.', '100000037', 'Disponível', 29),
(38, 'Apollo', 'Grande', 'Canina', 'Preto', 'Pastor Alemão', '/imagens/canina/apollo.jpg', 'Fiel e protetor(a).', NULL, 'Disponível', 970),
(39, 'Bentley', 'Médio', 'Felina', 'Branco', 'Persa', '/imagens/felina/bentley.jpg', 'Adapta-se bem a novos ambientes.', '100000039', 'Disponível', 580),
(40, 'Sunny', 'Pequeno', 'Roedores', 'Cinza', 'Porquinho da Índia', '/imagens/roedores/sunny.jpg', 'Sempre pronto(a) para uma aventura.', NULL, 'Disponível', 31),
(41, 'Shadow', 'Grande', 'Canina', 'Dourado', 'Golden Retriever', '/imagens/canina/shadow.jpg', 'Esperto(a) e fácil de treinar.', '100000041', 'Disponível', 70),
(42, 'Oreo', 'Médio', 'Felina', 'Tigrado', 'Bengal', '/imagens/felina/oreo.jpg', 'Brincalhão(a) e divertido(a).', NULL, 'Desaparecido', 260),
(43, 'Diesel', 'Pequeno', 'Aves', 'Branco e Preto', 'Periquito', '/imagens/aves/diesel.jpg', 'Calmo e dorminhoco.', '100000043', 'Disponível', 840),
(44, 'Sophie', 'Grande', 'Canina', 'Preto', 'Labrador', '/imagens/canina/sophie.jpg', 'Adora crianças.', NULL, 'Disponível', 490),
(45, 'Cocoa', 'Médio', 'Felina', 'Laranja', 'Maine Coon', '/imagens/felina/cocoa.jpg', 'Companheiro(a) ideal para a família.', '100000045', 'Adotado', 199),
(46, 'Bear', 'Pequeno', 'Peixes', 'Azul', 'Guppy', '/imagens/peixes/bear.jpg', 'Independente e explorador(a).', NULL, 'Disponível', 650),
(47, 'GingerSnap', 'Grande', 'Canina', 'Cinza', 'Bulldog Francês', '/imagens/canina/gingersnap.jpg', 'Precisa de muito espaço e atividade.', '100000047', 'Disponível', 30),
(48, 'Flash', 'Médio', 'Felina', 'Branco', 'Ragdoll', '/imagens/felina/flash.jpg', 'Um(a) verdadeiro(a) anjo.', NULL, 'Disponível', 99),
(49, 'Boomer', 'Pequeno', 'Roedores', 'Marrom', 'Hamster', '/imagens/roedores/boomer.jpg', 'Energético e curioso.', '100000049', 'Disponível', 777),
(50, 'Willow', 'Grande', 'Canina', 'Dourado', 'Golden Retriever', '/imagens/canina/willow.jpg', 'Fiel e protetor(a).', NULL, 'Disponível', 420),
(51, 'Stormy', 'Médio', 'Felina', 'Tigrado', 'SRD', '/imagens/felina/stormy.jpg', 'Gosta de carinho e atenção.', '100000051', 'Disponível', 111),
(52, 'Hunter', 'Pequeno', 'Aves', 'Amarelo', 'Calopsita', '/imagens/aves/hunter.jpg', 'Muito dócil e brincalhão.', NULL, 'Desaparecido', 632),
(53, 'Winston', 'Grande', 'Canina', 'Preto', 'Boxer', '/imagens/canina/winston.jpg', 'Esperto(a) e fácil de treinar.', '100000053', 'Disponível', 280),
(54, 'Honey', 'Médio', 'Felina', 'Branco e Preto', 'American Shorthair', '/imagens/felina/honey.jpg', 'Adapta-se bem a novos ambientes.', NULL, 'Disponível', 950),
(55, 'Ziggy', 'Pequeno', 'Peixes', 'Vermelho', 'Betta', '/imagens/peixes/ziggy.jpg', 'Calmo e dorminhoco.', '100000055', 'Adotado', 370),
(56, 'Sam', 'Grande', 'Canina', 'Marrom', 'Pastor Alemão', '/imagens/canina/sam.jpg', 'Adora crianças.', NULL, 'Disponível', 800),
(57, 'Pearl', 'Médio', 'Felina', 'Cinza', 'Persa', '/imagens/felina/pearl.jpg', 'Companheiro(a) ideal para a família.', '100000057', 'Disponível', 50),
(58, 'Angel', 'Pequeno', 'Roedores', 'Laranja', 'Porquinho da Índia', '/imagens/roedores/angel.jpg', 'Energético e curioso.', NULL, 'Disponível', 710),
(59, 'Brutus', 'Grande', 'Canina', 'Branco', 'Husky Siberiano', '/imagens/canina/brutus.jpg', 'Precisa de muito espaço e atividade.', '100000059', 'Disponível', 205),
(60, 'Skye', 'Médio', 'Felina', 'Preto', 'Maine Coon', '/imagens/felina/skye.jpg', 'Um(a) verdadeiro(a) anjo.', NULL, 'Desaparecido', 930),
(61, 'Rosie', 'Pequeno', 'Aves', 'Dourado', 'Periquito', '/imagens/aves/rosie.jpg', 'Muito dócil e brincalhão.', '100000061', 'Disponível', 60),
(62, 'Charlie', 'Grande', 'Canina', 'Malhado', 'Labrador', '/imagens/canina/charlie.jpg', 'Fiel e protetor(a).', NULL, 'Disponível', 850),
(63, 'Cleo', 'Médio', 'Felina', 'Azul', 'British Shorthair', '/imagens/felina/cleo.jpg', 'Independente e explorador(a).', '100000063', 'Adotado', 180),
(64, 'Sparky', 'Pequeno', 'Peixes', 'Tigrado', 'Guppy', '/imagens/peixes/sparky.jpg', 'Calmo e dorminhoco.', NULL, 'Disponível', 700),
(65, 'Bubbles', 'Grande', 'Canina', 'Marrom', 'Golden Retriever', '/imagens/canina/bubbles.jpg', 'Esperto(a) e fácil de treinar.', '100000065', 'Disponível', 20),
(66, 'Peanut', 'Médio', 'Felina', 'Branco e Preto', 'Ragdoll', '/imagens/felina/peanut.jpg', 'Gosta de carinho e atenção.', NULL, 'Disponível', 90),
(67, 'Buttons', 'Pequeno', 'Roedores', 'Preto', 'Hamster', '/imagens/roedores/buttons.jpg', 'Energético e curioso.', '100000067', 'Disponível', 555),
(68, 'Koda', 'Grande', 'Canina', 'Dourado', 'Labrador', '/imagens/canina/koda.jpg', 'Amigável com outros animais.', NULL, 'Desaparecido', 300),
(69, 'Princess', 'Médio', 'Felina', 'Laranja', 'Siamês', '/imagens/felina/princess.jpg', 'Adapta-se bem a novos ambientes.', '100000069', 'Disponível', 921),
(70, 'Gus', 'Pequeno', 'Aves', 'Cinza', 'Calopsita', '/imagens/aves/gus.jpg', 'Calmo e dorminhoco.', NULL, 'Disponível', 543),
(71, 'Buster', 'Grande', 'Canina', 'Branco', 'Vira-lata', '/imagens/canina/buster.jpg', 'Adora crianças.', '100000071', 'Adotado', 187),
(72, 'HoneyBelle', 'Médio', 'Felina', 'Marrom', 'Persa', '/imagens/felina/honeybelle.jpg', 'Companheiro(a) ideal para a família.', NULL, 'Disponível', 765),
(73, 'Mickey', 'Pequeno', 'Roedores', 'Branco e Preto', 'Porquinho da Índia', '/imagens/roedores/mickey.jpg', 'Gosta de carinho e atenção.', '100000073', 'Disponível', 321),
(74, 'Fred', 'Grande', 'Canina', 'Preto', 'Pastor Alemão', '/imagens/canina/fred.jpg', 'Precisa de muito espaço e atividade.', NULL, 'Disponível', 987),
(75, 'King', 'Médio', 'Felina', 'Tigrado', 'Bengal', '/imagens/felina/king.jpg', 'Um(a) verdadeiro(a) anjo.', '100000075', 'Disponível', 45),
(76, 'Duchess', 'Pequeno', 'Peixes', 'Amarelo', 'Kingyo', '/imagens/peixes/duchess.jpg', 'Muito dócil e brincalhão.', NULL, 'Disponível', 678),
(77, 'Prince', 'Grande', 'Canina', 'Laranja', 'Golden Retriever', '/imagens/canina/prince.jpg', 'Fiel e protetor(a).', '100000077', 'Desaparecido', 12),
(78, 'Queen', 'Médio', 'Felina', 'Dourado', 'SRD', '/imagens/felina/queen.jpg', 'Independente e explorador(a).', NULL, 'Disponível', 890),
(79, 'Countess', 'Pequeno', 'Aves', 'Azul', 'Agapornis', '/imagens/aves/countess.jpg', 'Adapta-se bem a novos ambientes.', '100000079', 'Disponível', 234),
(80, 'Sherlock', 'Grande', 'Canina', 'Malhado', 'Labrador', '/imagens/canina/sherlock.jpg', 'Esperto(a) e fácil de treinar.', NULL, 'Adotado', 567),
(81, 'Watson', 'Médio', 'Felina', 'Branco', 'British Shorthair', '/imagens/felina/watson.jpg', 'Brincalhão(a) e divertido(a).', '100000081', 'Disponível', 901),
(82, 'Pippin', 'Pequeno', 'Roedores', 'Cinza', 'Rato Twister', '/imagens/roedores/pippin.jpg', 'Calmo e dorminhoco.', NULL, 'Disponível', 78),
(83, 'Gandalf', 'Grande', 'Canina', 'Branco e Preto', 'Husky Siberiano', '/imagens/canina/gandalf.jpg', 'Precisa de muito espaço e atividade.', '100000083', 'Disponível', 432),
(84, 'Frodo', 'Médio', 'Felina', 'Marrom', 'Ragdoll', '/imagens/felina/frodo.jpg', 'Adora crianças.', NULL, 'Disponível', 100),
(85, 'Sauron', 'Pequeno', 'Peixes', 'Laranja', 'Molly', '/imagens/peixes/sauron.jpg', 'Companheiro(a) ideal para a família.', '100000085', 'Disponível', 600),
(86, 'Aragorn', 'Grande', 'Canina', 'Dourado', 'Bulldog Francês', '/imagens/canina/aragorn.jpg', 'Gosta de carinho e atenção.', NULL, 'Desaparecido', 20),
(87, 'Legolas', 'Médio', 'Felina', 'Branco', 'Persa', '/imagens/felina/legolas.jpg', 'Energético e curioso.', '100000087', 'Disponível', 808),
(88, 'Gimli', 'Pequeno', 'Roedores', 'Amarelo', 'Hamster', '/imagens/roedores/gimli.jpg', 'Sempre pronto(a) para uma aventura.', NULL, 'Disponível', 717),
(89, 'Boromir', 'Grande', 'Canina', 'Preto', 'Pastor Alemão', '/imagens/canina/boromir.jpg', 'Fiel e protetor(a).', '100000089', 'Adotado', 343),
(90, 'Galadriel', 'Médio', 'Felina', 'Cinza', 'Sphynx', '/imagens/felina/galadriel.jpg', 'Adapta-se bem a novos ambientes.', NULL, 'Disponível', 999),
(91, 'Elrond', 'Pequeno', 'Aves', 'Branco e Preto', 'Canário', '/imagens/aves/elrond.jpg', 'Calmo e dorminhoco.', '100000091', 'Disponível', 1),
(92, 'Hobbit', 'Grande', 'Canina', 'Marrom', 'Boxer', '/imagens/canina/hobbit.jpg', 'Adora crianças.', NULL, 'Disponível', 54),
(93, 'Ent', 'Médio', 'Felina', 'Tigrado', 'Bengal', '/imagens/felina/ent.jpg', 'Companheiro(a) ideal para a família.', '100000093', 'Disponível', 654),
(94, 'Orc', 'Pequeno', 'Peixes', 'Vermelho', 'Betta', '/imagens/peixes/orc.jpg', 'Gosta de carinho e atenção.', NULL, 'Disponível', 21),
(95, 'Dwarf', 'Grande', 'Canina', 'Dourado', 'Golden Retriever', '/imagens/canina/dwarf.jpg', 'Esperto(a) e fácil de treinar.', '100000095', 'Desaparecido', 789),
(96, 'Elf', 'Médio', 'Felina', 'Laranja', 'Maine Coon', '/imagens/felina/elf.jpg', 'Brincalhão(a) e divertido(a).', NULL, 'Disponível', 345),
(97, 'Wizard', 'Pequeno', 'Roedores', 'Branco', 'Coelho', '/imagens/roedores/wizard.jpg', 'Precisa de muito espaço e atividade.', '100000097', 'Disponível', 1000),
(98, 'Dragon', 'Grande', 'Canina', 'Preto', 'Labrador', '/imagens/canina/dragon.jpg', 'Um(a) verdadeiro(a) anjo.', NULL, 'Adotado', 56),
(99, 'Phoenix', 'Médio', 'Felina', 'Cinza', 'British Shorthair', '/imagens/felina/phoenix.jpg', 'Independente e explorador(a).', '100000099', 'Disponível', 876),
(100, 'Unicorn', 'Pequeno', 'Peixes', 'Azul', 'Néon', '/imagens/peixes/unicorn.jpg', 'Sempre pronto(a) para uma aventura.', NULL, 'Disponível', 234),
(101, 'Griffin', 'Grande', 'Canina', 'Branco', 'Husky Siberiano', '/imagens/canina/griffin.jpg', 'Fiel e protetor(a).', '100000101', 'Disponível', 12),
(102, 'Sphinx', 'Médio', 'Felina', 'Laranja', 'SRD', '/imagens/felina/sphinx.jpg', 'Adapta-se bem a novos ambientes.', NULL, 'Disponível', 765),
(103, 'Chimera', 'Pequeno', 'Roedores', 'Marrom', 'Hamster', '/imagens/roedores/chimera.jpg', 'Calmo e dorminhoco.', '100000103', 'Desaparecido', 321),
(104, 'Gargoyle', 'Grande', 'Canina', 'Preto', 'Pastor Alemão', '/imagens/canina/gargoyle.jpg', 'Adora crianças.', NULL, 'Disponível', 987),
(105, 'Pegasus', 'Médio', 'Felina', 'Branco e Preto', 'Persa', '/imagens/felina/pegasus.jpg', 'Companheiro(a) ideal para a família.', '100000105', 'Adotado', 45),
(106, 'Centaur', 'Pequeno', 'Aves', 'Amarelo', 'Agapornis', '/imagens/aves/centaur.jpg', 'Gosta de carinho e atenção.', NULL, 'Disponível', 678),
(107, 'Minotaur', 'Grande', 'Canina', 'Tigrado', 'Golden Retriever', '/imagens/canina/minotaur.jpg', 'Esperto(a) e fácil de treinar.', '100000107', 'Disponível', 187),
(108, 'Hydra', 'Médio', 'Felina', 'Dourado', 'Bengal', '/imagens/felina/hydra.jpg', 'Brincalhão(a) e divertido(a).', NULL, 'Disponível', 890),
(109, 'Kraken', 'Pequeno', 'Roedores', 'Laranja', 'Porquinho da Índia', '/imagens/roedores/kraken.jpg', 'Precisa de muito espaço e atividade.', '100000109', 'Disponível', 234),
(110, 'Cerberus', 'Grande', 'Canina', 'Azul', 'Labrador', '/imagens/canina/cerberus.jpg', 'Um(a) verdadeiro(a) anjo.', NULL, 'Disponível', 567),
(111, 'Medusa', 'Médio', 'Felina', 'Marrom', 'Maine Coon', '/imagens/felina/medusa.jpg', 'Independente e explorador(a).', '100000111', 'Desaparecido', 901),
(112, 'Siren', 'Pequeno', 'Peixes', 'Preto', 'Guppy', '/imagens/peixes/siren.jpg', 'Sempre pronto(a) para uma aventura.', NULL, 'Disponível', 78),
(113, 'Gorgon', 'Grande', 'Canina', 'Branco e Preto', 'Bulldog Francês', '/imagens/canina/gorgon.jpg', 'Fiel e protetor(a).', '100000113', 'Adotado', 432),
(114, 'Dryad', 'Médio', 'Felina', 'Cinza', 'Ragdoll', '/imagens/felina/dryad.jpg', 'Adapta-se bem a novos ambientes.', NULL, 'Disponível', 100),
(115, 'Nymph', 'Pequeno', 'Roedores', 'Dourado', 'Rato Twister', '/imagens/roedores/nymph.jpg', 'Calmo e dorminhoco.', '100000115', 'Disponível', 600),
(116, 'Satyr', 'Grande', 'Canina', 'Malhado', 'Vira-lata', '/imagens/canina/satyr.jpg', 'Adora crianças.', NULL, 'Disponível', 20),
(117, 'Faun', 'Médio', 'Felina', 'Tigrado', 'SRD', '/imagens/felina/faun.jpg', 'Companheiro(a) ideal para a família.', '100000117', 'Disponível', 808),
(118, 'Imp', 'Pequeno', 'Aves', 'Branco', 'Calopsita', '/imagens/aves/imp.jpg', 'Gosta de carinho e atenção.', NULL, 'Desaparecido', 717),
(119, 'Goblin', 'Grande', 'Canina', 'Laranja', 'Golden Retriever', '/imagens/canina/goblin.jpg', 'Precisa de muito espaço e atividade.', '100000119', 'Disponível', 343),
(120, 'Elfette', 'Médio', 'Felina', 'Dourado', 'Siamês', '/imagens/felina/elfette.jpg', 'Um(a) verdadeiro(a) anjo.', NULL, 'Disponível', 999),
(121, 'Pixie', 'Pequeno', 'Roedores', 'Azul', 'Coelho', '/imagens/roedores/pixie.jpg', 'Muito dócil e brincalhão.', '100000121', 'Adotado', 1),
(122, 'Sprite', 'Grande', 'Canina', 'Marrom', 'Pastor Alemão', '/imagens/canina/sprite.jpg', 'Fiel e protetor(a).', NULL, 'Disponível', 54),
(123, 'Brownie', 'Médio', 'Felina', 'Preto', 'Persa', '/imagens/felina/brownie.jpg', 'Independente e explorador(a).', '100000123', 'Disponível', 654),
(124, 'Leprechaun', 'Pequeno', 'Peixes', 'Branco e Preto', 'Kingyo', '/imagens/peixes/leprechaun.jpg', 'Adapta-se bem a novos ambientes.', NULL, 'Disponível', 21),
(125, 'Banshee', 'Grande', 'Canina', 'Cinza', 'Husky Siberiano', '/imagens/canina/banshee.jpg', 'Esperto(a) e fácil de treinar.', '100000125', 'Disponível', 789),
(126, 'Ghoul', 'Médio', 'Répteis', 'Verde', 'Leopardo Gecko', '/imagens/repteis/ghoul.jpg', 'Brincalhão(a) e divertido(a).', NULL, 'Desaparecido', 345),
(127, 'Specter', 'Pequeno', 'Aves', 'Dourado', 'Canário', '/imagens/aves/specter.jpg', 'Calmo e dorminhoco.', '100000127', 'Disponível', 1000),
(128, 'Wraith', 'Grande', 'Canina', 'Tigrado', 'Labrador', '/imagens/canina/wraith.jpg', 'Adora crianças.', NULL, 'Adotado', 56),
(129, 'Poltergeist', 'Médio', 'Felina', 'Branco', 'British Shorthair', '/imagens/felina/poltergeist.jpg', 'Companheiro(a) ideal para a família.', '100000129', 'Disponível', 876),
(130, 'Phantom', 'Pequeno', 'Roedores', 'Marrom', 'Porquinho da Índia', '/imagens/roedores/phantom.jpg', 'Gosta de carinho e atenção.', NULL, 'Disponível', 234),
(131, 'Nightmare', 'Grande', 'Canina', 'Preto', 'Boxer', '/imagens/canina/nightmare.jpg', 'Precisa de muito espaço e atividade.', '100000131', 'Disponível', 12),
(132, 'Succubus', 'Médio', 'Felina', 'Laranja', 'Maine Coon', '/imagens/felina/succubus.jpg', 'Um(a) verdadeiro(a) anjo.', NULL, 'Disponível', 765),
(133, 'Incubus', 'Pequeno', 'Peixes', 'Cinza', 'Molly', '/imagens/peixes/incubus.jpg', 'Muito dócil e brincalhão.', '100000133', 'Desaparecido', 321),
(134, 'Vampire', 'Grande', 'Canina', 'Dourado', 'Golden Retriever', '/imagens/canina/vampire.jpg', 'Fiel e protetor(a).', NULL, 'Disponível', 987),
(135, 'Zombie', 'Médio', 'Felina', 'Marrom', 'SRD', '/imagens/felina/zombie.jpg', 'Independente e explorador(a).', '100000135', 'Disponível', 45),
(136, 'Mummy', 'Pequeno', 'Roedores', 'Branco', 'Hamster', '/imagens/roedores/mummy.jpg', 'Adapta-se bem a novos ambientes.', NULL, 'Adotado', 678),
(137, 'Frankenstein', 'Grande', 'Canina', 'Preto', 'Labrador', '/imagens/canina/frankenstein.jpg', 'Calmo e dorminhoco.', '100000137', 'Disponível', 187),
(138, 'Dracula', 'Médio', 'Felina', 'Preto', 'Siamês', '/imagens/felina/dracula.jpg', 'Adora crianças.', NULL, 'Disponível', 890),
(139, 'Werewolf', 'Pequeno', 'Aves', 'Cinza', 'Periquito', '/imagens/aves/werewolf.jpg', 'Companheiro(a) ideal para a família.', '100000139', 'Disponível', 234),
(140, 'Witch', 'Grande', 'Canina', 'Laranja', 'Husky Siberiano', '/imagens/canina/witch.jpg', 'Gosta de carinho e atenção.', NULL, 'Disponível', 567),
(141, 'Wizardess', 'Médio', 'Felina', 'Dourado', 'Persa', '/imagens/felina/wizardess.jpg', 'Energético e curioso.', '100000141', 'Desaparecido', 901),
(142, 'Sorcerer', 'Pequeno', 'Peixes', 'Azul', 'Betta', '/imagens/peixes/sorcerer.jpg', 'Sempre pronto(a) para uma aventura.', NULL, 'Disponível', 78),
(143, 'Enchantress', 'Grande', 'Canina', 'Branco', 'Pastor Alemão', '/imagens/canina/enchantress.jpg', 'Fiel e protetor(a).', '100000143', 'Adotado', 432),
(144, 'Alchemist', 'Médio', 'Répteis', 'Verde', 'Iguana', '/imagens/repteis/alchemist.jpg', 'Adapta-se bem a novos ambientes.', NULL, 'Disponível', 100),
(145, 'Bard', 'Pequeno', 'Roedores', 'Marrom', 'Coelho', '/imagens/roedores/bard.jpg', 'Calmo e dorminhoco.', '100000145', 'Disponível', 600),
(146, 'Paladin', 'Grande', 'Canina', 'Preto', 'Boxer', '/imagens/canina/paladin.jpg', 'Adora crianças.', NULL, 'Disponível', 20),
(147, 'Rogue', 'Médio', 'Felina', 'Laranja', 'Bengal', '/imagens/felina/rogue.jpg', 'Companheiro(a) ideal para a família.', '100000147', 'Disponível', 808),
(148, 'Cleric', 'Pequeno', 'Aves', 'Dourado', 'Calopsita', '/imagens/aves/cleric.jpg', 'Gosta de carinho e atenção.', NULL, 'Disponível', 717),
(149, 'Druid', 'Grande', 'Canina', 'Tigrado', 'Golden Retriever', '/imagens/canina/druid.jpg', 'Precisa de muito espaço e atividade.', '100000149', 'Desaparecido', 343),
(150, 'Monk', 'Médio', 'Felina', 'Branco e Preto', 'Maine Coon', '/imagens/felina/monk.jpg', 'Um(a) verdadeiro(a) anjo.', NULL, 'Disponível', 999),
(151, 'Bolt', 'Médio', 'Canina', 'Preto', 'Labrador', '/imagens/canina/bolt.jpg', 'Muito brincalhão.', NULL, 'Disponível', 751),
(152, 'Luna', 'Pequeno', 'Felina', 'Branco', 'Persa', '/imagens/felina/luna.jpg', 'Muito dócil e carinhosa.', '000010001', 'Adotado', 203),
(153, 'Rex', 'Grande', 'Canina', 'Marrom', 'Doberman', '/imagens/canina/rex.jpg', 'Muito protetor.', NULL, 'Disponível', 987),
(154, 'Mimi', 'Pequeno', 'Felina', 'Cinza', 'Siamês', '/imagens/felina/mimi.jpg', 'Gosta de colo.', '000010002', 'Disponível', 432),
(155, 'Trovão', 'Grande', 'Canina', 'Preto e Branco', 'Husky Siberiano', '/imagens/canina/trovao.jpg', 'Cheio de energia.', NULL, 'Desaparecido', 112),
(156, 'Nina', 'Médio', 'Canina', 'Caramelo', 'Vira-lata', '/imagens/canina/nina.jpg', 'Muito amável.', '000010003', 'Disponível', 876),
(157, 'Fred', 'Pequeno', 'Felina', 'Laranja', 'Angorá', '/imagens/felina/fred.jpg', 'Adora brincar com novelos.', NULL, 'Adotado', 301),
(158, 'Zara', 'Médio', 'Canina', 'Branco', 'Poodle', '/imagens/canina/zara.jpg', 'Muito educada.', '000010004', 'Disponível', 654),
(159, 'Tico', 'Pequeno', 'Felina', 'Rajado', 'Maine Coon', '/imagens/felina/tico.jpg', 'Dorminhoco.', NULL, 'Disponível', 99),
